brand_key,campaign_key,group_key,year,month,impressions,reach,clicks,sales,family,budget,cost,contribution,_merge,matched
,aon tajamar 2026,CRM,2026,1,0.0,9954.0,0.0,0.0,,,,,left_only,False
,black marzo 2026,CRM,2026,4,0.0,653646.0,0.0,0.0,,,,,left_only,False
,push flobal,CRM,2026,3,0.0,308738.0,0.0,0.0,,,,,left_only,False
,sin campana,CRM,2025,12,0.0,50232.0,0.0,0.0,,,,,left_only,False
,tactcio marzo tajamar 2026,CRM,2026,3,0.0,117176.0,226.0,0.0,,,,,left_only,False
,venta final enero 2026,CRM,2026,2,0.0,53902.0,0.0,0.0,,,,,left_only,False
3m,,Otros,2026,5,40352.0,0.0,9.0,0.0,,,,,left_only,False
3m,6189516 009379,CRM,2023,5,0.0,98983.0,135.0,11374842.0,,,,,left_only,False
3m,6189516 010187,CRM,2023,7,0.0,54157.0,8225.0,5184602.0,,,,,left_only,False
3m,6189516 010315,CRM,2023,7,0.0,101966.0,133.0,3527228.0,,,,,left_only,False
3m,6189516 010432,CRM,2023,8,0.0,27506.0,4931.0,2602167.0,,,,,left_only,False
3m,6189516 010517,CRM,2023,8,0.0,101302.0,97.0,4087349.0,,,,,left_only,False
3m,6189516 010670,CRM,2023,8,0.0,54044.0,6198.0,3388824.0,,,,,left_only,False
3m,6189516 011796,CRM,2023,11,0.0,50139.0,4364.0,1981412.0,,,,,left_only,False
3m,aon febrero,Retail Display,2026,2,76935.0,0.0,32.0,0.0,FERRETERIA,200000.0,160000.0,40000.0,both,True
3m,aon febrero,Sponsored Products,2026,2,2787.0,0.0,44.0,29430.0,FERRETERIA,250000.0,206000.0,44000.0,both,True
3m,aon marzo,Retail Display,2026,3,76942.0,0.0,30.0,0.0,FERRETERIA,200000.0,160000.0,40000.0,both,True
3m,aon marzo,Retail Display,2026,4,76933.0,0.0,32.0,0.0,,,,,left_only,False
3m,aon marzo,Sponsored Products,2026,3,0.0,0.0,0.0,9990.0,FERRETERIA,154659.0,127439.0,27220.0,both,True
3m,awt7iqbdx,CRM,2024,1,0.0,101711.0,1138.0,5250484.0,,,,,left_only,False
3m,black week,Retail Display,2026,3,45890.0,0.0,17.0,0.0,,,,,left_only,False
3m,black week,Retail Display,2026,4,31041.0,0.0,14.0,0.0,,,,,left_only,False
3m,black week,Sponsored Products,2026,3,0.0,0.0,0.0,4580.0,,,,,left_only,False
3m,plqjlg3ar,CRM,2024,2,0.0,101635.0,344.0,4699622.0,,,,,left_only,False
3m,tlwatiikm,CRM,2024,3,0.0,102042.0,209.0,7705564.0,,,,,left_only,False
3m,zbvfyq0od,CRM,2024,1,0.0,103578.0,1142.0,5753196.0,,,,,left_only,False
3m command,,Retail Display,2025,11,159650.0,0.0,96.0,0.0,,,,,left_only,False
3m scotch,montaje,Retail Display,2025,8,86275.0,0.0,77.0,0.0,,,,,left_only,False
3m scotch,montaje,Retail Display,2025,9,82196.0,0.0,78.0,0.0,,,,,left_only,False
3m scotch,montaje,Retail Display,2025,10,81143.0,0.0,75.0,0.0,,,,,left_only,False
3m scotch,tc,Retail Display,2025,8,165097.0,0.0,128.0,0.0,,,,,left_only,False
3m scotchgard,lanzamiento scotchgard,Meta,2025,8,255656.0,0.0,4804.0,0.0,,,,,left_only,False
3m scotchgard,lanzamiento scotchgard,Retail Display,2025,8,126481.0,0.0,131.0,0.0,,,,,left_only,False
3m scotchgard,lanzamiento scotchgard,Retail Display,2025,9,122992.0,0.0,69.0,0.0,,,,,left_only,False
ad clean,limpieza parrillas,Retail Display,2025,8,38240.0,0.0,39.0,0.0,,,,,left_only,False
ad clean,limpieza parrillas,Retail Display,2025,9,166323.0,0.0,168.0,0.0,,,,,left_only,False
adclean,2r6oojht4,CRM,2025,8,0.0,101368.0,538.0,251670.0,,,,,left_only,False
adepac,59epv5hf1,CRM,2024,4,0.0,100756.0,285.0,426481.0,,,,,left_only,False
agorex,1crbn9h7z,CRM,2024,11,0.0,101226.0,260.0,2581517.0,,,,,left_only,False
agorex,2wstwsg a,CRM,2025,7,0.0,294819.0,824.0,8394010.0,,,,,left_only,False
agorex,370kdwpsz,CRM,2024,4,0.0,1120533.0,32187.0,11573523.0,,,,,left_only,False
agorex,44fcnwlrw,CRM,2024,8,0.0,101276.0,128.0,4508596.0,,,,,left_only,False
agorex,6189516 008623,CRM,2023,3,0.0,17221.0,52.0,1134474.0,,,,,left_only,False
agorex,6189516 008648,CRM,2023,3,0.0,53998.0,8091.0,478378.0,,,,,left_only,False
agorex,6189516 008753,CRM,2023,4,0.0,100939.0,141.0,451552.0,,,,,left_only,False
agorex,6189516 008785,CRM,2023,4,0.0,101169.0,99.0,489310.0,,,,,left_only,False
agorex,6189516 008827,CRM,2023,4,0.0,54070.0,6162.0,384622.0,,,,,left_only,False
agorex,6189516 009286,CRM,2023,5,0.0,101318.0,67.0,1130953.0,,,,,left_only,False
agorex,6189516 010226,CRM,2023,7,0.0,53893.0,7705.0,986642.0,,,,,left_only,False
agorex,6189516 010350,CRM,2023,7,0.0,103856.0,672.0,1412855.0,,,,,left_only,False
agorex,6189516 010444,CRM,2023,8,0.0,101821.0,461.0,952424.0,,,,,left_only,False
agorex,6189516 010711,CRM,2023,8,0.0,27724.0,5411.0,1450233.0,,,,,left_only,False
agorex,6189516 010721,CRM,2023,8,0.0,79702.0,1002.0,1275680.0,,,,,left_only,False
agorex,6189516 011507,CRM,2023,10,0.0,52406.0,205.0,903627.0,,,,,left_only,False
agorex,6189516 011510,CRM,2023,10,0.0,52229.0,227.0,269801.0,,,,,left_only,False
agorex,6189516 011573,CRM,2023,10,0.0,101792.0,352.0,598717.0,,,,,left_only,False
agorex,6189516 011664,CRM,2023,11,0.0,50815.0,4314.0,437192.0,,,,,left_only,False
agorex,6189516 011954,CRM,2023,11,0.0,100202.0,346.0,385779.0,,,,,left_only,False
agorex,6189516 011973,CRM,2023,11,0.0,27809.0,4678.0,615073.0,,,,,left_only,False
agorex,6189516 012070,CRM,2023,11,0.0,101307.0,394.0,1231442.0,,,,,left_only,False
agorex,6189516 012089,CRM,2023,12,0.0,53978.0,4849.0,667173.0,,,,,left_only,False
agorex,6189516 012106,CRM,2023,12,0.0,85480.0,137.0,3060294.0,,,,,left_only,False
agorex,6h49g04th,CRM,2024,10,0.0,84075.0,222.0,2707631.0,,,,,left_only,False
agorex,6jzirgtkb,CRM,2024,1,0.0,65506.0,298.0,3024892.0,,,,,left_only,False
agorex,7yklawwib,CRM,2024,9,0.0,288.0,6.0,3328051.0,,,,,left_only,False
agorex,81lwhzncz,CRM,2024,6,0.0,59287.0,2758.0,1698393.0,,,,,left_only,False
agorex,a9pftjpy9,CRM,2024,4,0.0,54111.0,2396.0,1054916.0,,,,,left_only,False
agorex,alkjqtdev,CRM,2024,3,0.0,101350.0,314.0,1531292.0,,,,,left_only,False
agorex,aon abril henkel 2026,CRM,2026,4,0.0,329654.0,0.0,25291289.0,PINTURA Y ACCESORIOS,1305000.0,27586.0,1277414.0,both,True
agorex,aon febrero,CRM,2026,2,0.0,1199220.0,0.0,115180104.0,PINTURA Y ACCESORIOS,1305000.0,76190.0,1228810.0,both,True
agorex,aon marzo henkel 2026,Sponsored Products,2026,3,165545.0,0.0,3277.0,3256114.0,PINTURA Y ACCESORIOS,500000.0,412000.0,88000.0,both,True
agorex,bnqp1n74t,CRM,2025,6,0.0,54124.0,266.0,3638344.0,,,,,left_only,False
agorex,bpgssdkja,CRM,2024,7,0.0,102398.0,284.0,4742760.0,,,,,left_only,False
agorex,c5eeqtqls,CRM,2025,4,0.0,53903.0,365.0,796527.0,,,,,left_only,False
agorex,cm7i2xrxn,CRM,2024,8,0.0,101119.0,550.0,4627001.0,,,,,left_only,False
agorex,cyber day,Retail Display,2024,6,296320.0,0.0,666.0,0.0,,,,,left_only,False
agorex,fdnix oqj,CRM,2024,8,0.0,100010.0,157.0,5015957.0,,,,,left_only,False
agorex,fqclldcow,CRM,2024,4,0.0,100827.0,219.0,886447.0,,,,,left_only,False
agorex,fwhvrxzx8,CRM,2024,12,0.0,54018.0,1861.0,967827.0,,,,,left_only,False
agorex,fys0nvo4h,CRM,2024,10,0.0,91742.0,210.0,2434702.0,,,,,left_only,False
agorex,ghq2rr6lv,CRM,2024,4,0.0,51801.0,1427.0,918272.0,,,,,left_only,False
agorex,gkbdg5spt,CRM,2025,3,0.0,324172.0,1762.0,5310817.0,,,,,left_only,False
agorex,hakeqeui9,CRM,2024,11,0.0,65769.0,258.0,3305015.0,,,,,left_only,False
agorex,hv8cv es7,CRM,2025,4,0.0,53994.0,342.0,359340.0,,,,,left_only,False
agorex,iaqfavmfa,CRM,2024,8,0.0,57.0,2.0,649075.0,,,,,left_only,False
agorex,ionm0xejr,CRM,2024,10,0.0,79535.0,276.0,2092738.0,,,,,left_only,False
