original_brand,original_campaign,group_key,year,month,family,budget,sales,match_quality,sample_is_valid,roas
3m,aon_febrero,Retail Display,2026,2,FERRETERIA,200000.0,0.0,exact,True,0.0
3M,aon_febrero,Sponsored Products,2026,2,FERRETERIA,250000.0,29430.0,exact,True,0.11772
3m,aon_marzo,Retail Display,2026,3,FERRETERIA,200000.0,0.0,exact,True,0.0
3M,aon_marzo,Sponsored Products,2026,3,FERRETERIA,154659.0,9990.0,exact,True,0.06459371908521327
agorex,AON ABRIL HENKEL 2026,CRM,2026,4,PINTURA Y ACCESORIOS,1305000.0,25291289.0,exact,True,19.380298084291187
agorex,AON FEBRERO,CRM,2026,2,PINTURA Y ACCESORIOS,1305000.0,115180104.0,exact,True,88.26061609195402
AGOREX,aon_marzo_henkel_2026,Sponsored Products,2026,3,PINTURA Y ACCESORIOS,500000.0,3256114.0,exact,True,6.512228
ALBIN TROTTER,aon_marzo_2026_albin_trotter,Sponsored Products,2026,3,BANOS Y COCINAS,400000.0,12591060.0,exact,True,31.47765
alcazar,Black Marzo ALCAZAR 2026,CRM,2026,4,ELECTROHOGAR,1000000.0,14821645.0,exact,True,14.821645
BBQ GRILL,aon_febrero_2026,Sponsored Products,2026,2,AIRE LIBRE,800000.0,9229600.0,exact,True,11.537
BBQ GRILL,aon_marzo_2026,Sponsored Products,2026,3,AIRE LIBRE,500000.0,11059440.0,exact,True,22.11888
black+decker,aon_trigger,CRM,2026,2,HERRAMIENTAS Y MAQUINARIAS,750000.0,3358338.0,exact,True,4.477784
black+decker,aon_trigger,CRM,2026,3,HERRAMIENTAS Y MAQUINARIAS,750000.0,3859080.0,exact,True,5.14544
black+decker,aon_trigger,CRM,2026,4,HERRAMIENTAS Y MAQUINARIAS,750000.0,3060872.0,exact,True,4.081162666666667
black+decker,aon_trigger,CRM,2026,5,HERRAMIENTAS Y MAQUINARIAS,750000.0,1437338.0,exact,True,1.9164506666666667
bosca,AON ABRIL BOSCA 2026,CRM,2026,4,ELECTROHOGAR,1550000.0,79099690.0,exact,True,51.03205806451613
bosca,AON Febrero 2026,CRM,2026,2,ELECTROHOGAR,950000.0,15947793.0,exact,True,16.787150526315788
bosca,AON MARZO BOSCA 2026,CRM,2026,3,ELECTROHOGAR,950000.0,89497788.0,exact,True,94.20819789473684
bosca,aon_marzo_bosca_2026,Retail Display,2026,3,ELECTROHOGAR,200000.0,0.0,exact,True,0.0
BOSCA,aon_marzo_bosca_2026,Sponsored Products,2026,3,ELECTROHOGAR,500000.0,24209560.0,exact,True,48.41912
bosca,AON MAYO BOSCA 2026,CRM,2026,5,ELECTROHOGAR,2340000.0,67569698.0,exact,True,28.875939316239315
bosch,Abril Herramientas Mil,CRM,2026,4,HERRAMIENTAS Y MAQUINARIAS,0.0,58908472.0,exact,False,
BOSCH,aon_pro_q1,Sponsored Products,2026,2,HERRAMIENTAS Y MAQUINARIAS,150000.0,1254730.0,exact,True,8.364866666666666
bosch,Mes del Maestro,CRM,2026,3,HERRAMIENTAS Y MAQUINARIAS,0.0,299790112.0,exact,False,
bosch,Táctico bonificado,CRM,2026,4,HERRAMIENTAS Y MAQUINARIAS,0.0,13249141.0,exact,False,
brother,Campaña BTS,CRM,2026,3,CASA INTELIGENTE,1200000.0,2942700.0,exact,True,2.45225
celta,AON Diciembre,CRM,2025,12,MUEBLES,500000.0,0.0,exact,True,0.0
CELTA,aon_febrero_muebles_2026,Sponsored Products,2026,2,MUEBLES,600000.0,1109960.0,exact,True,1.8499333333333334
CELTA,aon_marzo_2026,Sponsored Products,2026,3,MUEBLES,500000.0,4274750.0,exact,True,8.5495
celta,aon_trigger,CRM,2026,2,MUEBLES,900000.0,0.0,exact,True,0.0
celta,aon_trigger,CRM,2026,3,MUEBLES,900000.0,6151712.0,exact,True,6.835235555555555
celta,Black Marzo 2026,CRM,2026,4,MUEBLES,1500000.0,2153384.0,exact,True,1.4355893333333334
celta,Colchonazo,CRM,2026,1,MUEBLES,1500000.0,8306997.0,exact,True,5.537998
ceys,Campaña Cinta Montack,CRM,2026,4,FERRETERIA,1200000.0,175697.0,exact,True,0.14641416666666668
ceys,Campaña TV Cinta Montack,CRM,2025,12,FERRETERIA,600000.0,328059.0,exact,True,0.546765
chilcorrofin,Tactico Chilcorrofin Pinturas,CRM,2025,12,PINTURA Y ACCESORIOS,2700000.0,3919567.0,exact,True,1.4516914814814814
cic,AON ABRIL CIC MUEBLES 2026,CRM,2026,4,MUEBLES,800000.0,17699201.0,exact,True,22.12400125
CIC,aon_febrero_2026,Sponsored Products,2026,2,MUEBLES,1000000.0,30590880.0,exact,True,30.59088
CIC,aon_febrero_muebles_2026,Sponsored Products,2026,2,MUEBLES,1000000.0,5998840.0,exact,True,5.99884
CIC,aon_marzo_2026,Sponsored Products,2026,3,MUEBLES,800000.0,22464520.0,exact,True,28.08065
cic,BTS Febrero 2026,CRM,2026,2,MUEBLES,600000.0,133864161.0,exact,True,223.106935
CONTATTO,aon_marzo_2026,Sponsored Products,2026,3,MUEBLES,500000.0,209990.0,exact,True,0.41998
disney,BTS Febrero 2026,CRM,2026,2,MENAJE,800000.0,6890596.0,exact,True,8.613245
drimkip,AON Febrero 2026,CRM,2026,2,MUEBLES,500000.0,3136200.0,exact,True,6.2724
DRIMKIP,aon_febrero_2026,Sponsored Products,2026,2,MUEBLES,750000.0,3084760.0,exact,True,4.113013333333333
DRIMKIP,aon_marzo_2026,Sponsored Products,2026,3,MUEBLES,750000.0,5648310.0,exact,True,7.53108
electrolux,AON Electrolux 2025,CRM,2025,12,ELECTROHOGAR,1780000.0,6570462.0,exact,True,3.691270786516854
electrolux,aon_febrero_electrolux_2026,Google,2026,2,ELECTROHOGAR,1099998.0,6644080.0,exact,True,6.040083709243108
electrolux,aon_febrero_electrolux_2026,Otros,2026,2,ELECTROHOGAR,0.0,867899.0,exact,False,
ELECTROLUX,aon_febrero_electrolux_byc_2026,Sponsored Products,2026,2,BANOS Y COCINAS,500000.0,259990.0,exact,True,0.51998
ELECTROLUX,aon_febrero_electrolux_lb_2026,Sponsored Products,2026,2,ELECTROHOGAR,700000.0,2608890.0,exact,True,3.726985714285714
ELECTROLUX,aon_marzo_electrolux_lb_2026,Sponsored Products,2026,3,ELECTROHOGAR,700000.0,3655920.0,exact,True,5.222742857142857
electrolux,Black Marzo Electrolux 2026,CRM,2026,4,ELECTROHOGAR,2200000.0,6259890.0,exact,True,2.8454045454545454
EPSON,tactico_epson_febrero,Sponsored Products,2026,2,CASA INTELIGENTE,45714.0,675970.0,exact,True,14.786936168351053
epson,Tactico Epson Marzo,CRM,2026,3,CASA INTELIGENTE,700000.0,1379940.0,exact,True,1.971342857142857
EPSON,tactico_epson_marzo,Sponsored Products,2026,3,CASA INTELIGENTE,354285.0,6288700.0,exact,True,17.75039869031994
exit,AON ABRIL EXIT  2026,CRM,2026,4,MUEBLES,1000000.0,1357900.0,exact,True,1.3579
exit,AON MAYO 2026,CRM,2026,5,MUEBLES,0.0,280683.0,exact,False,
FDV,aon_febrero_2026,Sponsored Products,2026,2,ELECTROHOGAR,402133.0,4119890.0,exact,True,10.245093041356965
FDV,aon_marzo_kitchen_center_2026,Sponsored Products,2026,3,ELECTROHOGAR,502133.0,619980.0,exact,True,1.2346928005130116
FELLINI,tactico_felliny_goofy_febrero_2026,Sponsored Products,2026,2,JARDIN,200000.0,53400.0,exact,True,0.267
fixser,bts_febrero_2026,Retail Display,2026,2,ORGANIZACION,400000.0,0.0,exact,True,0.0
FIXSER,bts_febrero_2026,Sponsored Products,2026,2,ORGANIZACION,307809.0,1467820.0,exact,True,4.768606505982606
fixser,bts_marzo_2026,Retail Display,2026,3,ORGANIZACION,400000.0,0.0,exact,True,0.0
FIXSER,bts_marzo_2026,Sponsored Products,2026,3,ORGANIZACION,492810.0,4742360.0,exact,True,9.623100180596985
flex,AON Febrero 2026,CRM,2026,2,MUEBLES,550000.0,13617942.0,exact,True,24.759894545454546
FLEX,aon_febrero_2026,Sponsored Products,2026,2,MUEBLES,450000.0,10438600.0,exact,True,23.19688888888889
FLEX,aon_marzo_2026,Sponsored Products,2026,3,MUEBLES,1000000.0,6359790.0,exact,True,6.35979
hisense,AON FEBRERO,CRM,2026,2,ELECTROHOGAR,1296000.0,18933712.0,exact,True,14.609345679012346
hisense,aon_febrero,Retail Display,2026,2,ELECTROHOGAR,600000.0,0.0,exact,True,0.0
HISENSE,aon_febrero,Sponsored Products,2026,2,ELECTROHOGAR,1300000.0,14729440.0,exact,True,11.330338461538462
hisense,AON HISENSE 2026,CRM,2026,1,ELECTROHOGAR,980000.0,21093120.0,exact,True,21.523591836734695
hisense,aon_hisense_2026,Retail Display,2026,1,ELECTROHOGAR,800000.0,0.0,exact,True,0.0
hisense,aon_marzo_hisense_2026,Retail Display,2026,3,ELECTROHOGAR,900000.0,0.0,exact,True,0.0
HISENSE,aon_marzo_hisense_2026,Sponsored Products,2026,3,ELECTROHOGAR,700000.0,5529780.0,exact,True,7.899685714285714
hisense,TACTICO LAVADORAS ABRIL HISENSE 2026,CRM,2026,4,ELECTROHOGAR,2700000.0,5549028.0,exact,True,2.0551955555555557
hisense,TACTICO LAVADORAS FEBRERO,CRM,2026,2,ELECTROHOGAR,1100000.0,37601298.0,exact,True,34.182998181818185
hisense,tactico_lavadoras_febrero,Retail Display,2026,2,ELECTROHOGAR,400000.0,0.0,exact,True,0.0
HISENSE,tactico_lavadoras_febrero,Sponsored Products,2026,2,ELECTROHOGAR,600000.0,5909770.0,exact,True,9.849616666666666
hisense,TACTICO LAVADORAS HISENSE 2026,CRM,2026,1,ELECTROHOGAR,760000.0,3839820.0,exact,True,5.052394736842105
hisense,tactico_lavadoras_hisense_2026,Retail Display,2026,1,ELECTROHOGAR,600000.0,0.0,exact,True,0.0
HISENSE,tactico_lavadoras_marzo_hisense_2026,Sponsored Products,2026,3,ELECTROHOGAR,600000.0,11899620.0,exact,True,19.8327
HUSQVARNA,tactico_febrero_2026,Sponsored Products,2026,2,JARDIN,800000.0,5054320.0,exact,True,6.3179
indura,Abril Herramientas Mil,CRM,2026,4,HERRAMIENTAS Y MAQUINARIAS,0.0,51244908.0,exact,False,
indura,Campaña PPI,CRM,2026,5,HERRAMIENTAS Y MAQUINARIAS,1200000.0,8608041.0,exact,True,7.1733675
indura,Mes del Maestro,CRM,2026,3,HERRAMIENTAS Y MAQUINARIAS,0.0,49773324.0,exact,False,
jbl,always_on_mayo_2026,Google,2026,5,CASA INTELIGENTE,500000.0,412750377.0,exact,True,825.500754
junkers,AON MARZO JUNKERS 2026,CRM,2026,3,BANOS Y COCINAS,700000.0,15922652.0,exact,True,22.746645714285716
JUNKERS,aon_marzo_junkers_2026,Sponsored Products,2026,3,BANOS Y COCINAS,300000.0,8645580.0,exact,True,28.8186
KARCHER,mes_del_maestro,Sponsored Products,2026,3,HERRAMIENTAS Y MAQUINARIAS,250000.0,14814180.0,exact,True,59.25672
karcher,Tactico Febrero,CRM,2026,2,HERRAMIENTAS Y MAQUINARIAS,400000.0,2031192.0,exact,True,5.07798
karcher,Tactico Mayo,CRM,2026,5,HERRAMIENTAS Y MAQUINARIAS,400000.0,5288939.0,exact,True,13.2223475
keep,Temporada de camping,CRM,2026,1,MENAJE,0.0,3414804.0,exact,False,
lanco,aon_lanco_2026,Retail Display,2026,1,PINTURA Y ACCESORIOS,1800000.0,0.0,exact,True,0.0
lanco,AON MARZO LANCO 2026,CRM,2026,3,PINTURA Y ACCESORIOS,1500000.0,5224131.0,exact,True,3.482754
lanco,aon_marzo_lanco_2026,Retail Display,2026,3,PINTURA Y ACCESORIOS,1800000.0,0.0,exact,True,0.0
LG,aon_febrero_lg_2026,Sponsored Products,2026,2,ELECTROHOGAR,700000.0,20849420.0,exact,True,29.784885714285714
lg,TACTICO LG 2026,CRM,2026,1,ELECTROHOGAR,1500000.0,31449246.0,exact,True,20.966164
LIBERO,aon_libero_febrero,Sponsored Products,2026,2,ELECTROHOGAR,400000.0,13944130.0,exact,True,34.860325
libero,aon_libero/ventus_2026,CRM,2026,1,ELECTROHOGAR,2100000.0,4279700.0,exact,True,2.037952380952381
libero,aon_libero/ventus_2026,CRM,2026,2,ELECTROHOGAR,2100000.0,10094330.0,exact,True,4.806823809523809
libero,aon_libero/ventus_2026,CRM,2026,3,ELECTROHOGAR,2100000.0,9824413.0,exact,True,4.678291904761905
LIBERO,aon_marzo_libero_2026,Sponsored Products,2026,3,ELECTROHOGAR,300000.0,8064510.0,exact,True,26.8817
MADEMSA,aon_marzo_mademsa_lb_2026,Sponsored Products,2026,3,ELECTROHOGAR,700000.0,31343490.0,exact,True,44.77641428571429
mademsa,TACTICO MADEMSA CALEFACCION 2026,CRM,2026,5,ELECTROHOGAR,1200000.0,26061974.0,exact,True,21.718311666666665
maigas,AON MAYO MAIGAS 2026,CRM,2026,5,ELECTROHOGAR,1000000.0,72990.0,exact,True,0.07299
makita,Mes del Maestro,CRM,2026,3,HERRAMIENTAS Y MAQUINARIAS,700000.0,41110476.0,exact,True,58.72925142857143
MAKITA,mes_del_maestro,Sponsored Products,2026,3,HERRAMIENTAS Y MAQUINARIAS,700000.0,10272520.0,exact,True,14.675028571428571
mamut,Catalogo Mes del Maestro,CRM,2026,3,FERRETERIA,0.0,49762869.0,exact,False,
mantahue,Colchonazo ,CRM,2026,1,MUEBLES,1500000.0,1071880.0,exact,True,0.7145866666666667
masisa,MAIL Tactico Febrero 2026,CRM,2026,3,PISOS Y MUROS,0.0,8169600.0,exact,False,
meguiars,"Campaña Play Dirty, Get Clean",CRM,2026,3,ACCESORIOS AUTOMOVILES,1200000.0,13625217.0,exact,True,11.3543475
midea,AON Diciembre 2025,CRM,2025,12,ELECTROHOGAR,1120000.0,46591958.0,exact,True,41.5999625
midea,AON FEBRERO AC MIDEA 2026,CRM,2026,2,ELECTROHOGAR,1200000.0,108472272.0,exact,True,90.39356
MIDEA,aon_febrero_midea_ac_2026,Sponsored Products,2026,2,ELECTROHOGAR,1050000.0,21109320.0,exact,True,20.104114285714285
MIDEA,aon_febrero_midea_byc_2026,Sponsored Products,2026,2,BANOS Y COCINAS,450000.0,4354740.0,exact,True,9.6772
midea,aon_febrero_midea_electro_2026,Retail Display,2026,2,ELECTROHOGAR,300000.0,0.0,exact,True,0.0
MIDEA,aon_febrero_midea_electro_2026,Sponsored Products,2026,2,ELECTROHOGAR,700000.0,9102480.0,exact,True,13.003542857142858
MIDEA,aon_febrero_midea_lb_2026,Sponsored Products,2026,2,ELECTROHOGAR,1000000.0,36391650.0,exact,True,36.39165
midea,AON MARZO MIDEA AC 2026,CRM,2026,3,ELECTROHOGAR,800000.0,118506100.0,exact,True,148.132625
MIDEA,aon_marzo_midea_ac_2026,Sponsored Products,2026,3,ELECTROHOGAR,700000.0,8889750.0,exact,True,12.699642857142857
MIDEA,aon_marzo_midea_byc_2026,Sponsored Products,2026,3,BANOS Y COCINAS,600000.0,3889780.0,exact,True,6.482966666666667
midea,aon_marzo_midea_electro_2026,Retail Display,2026,3,ELECTROHOGAR,300000.0,0.0,exact,True,0.0
MIDEA,aon_marzo_midea_electro_2026,Sponsored Products,2026,3,ELECTROHOGAR,700000.0,10136510.0,exact,True,14.480728571428571
MIDEA,aon_marzo_midea_lb_2026,Sponsored Products,2026,3,ELECTROHOGAR,1000000.0,20075430.0,exact,True,20.07543
midea,AON MAYO MIDEA LB 2026,CRM,2026,5,ELECTROHOGAR,1820000.0,29878382.0,exact,True,16.416693406593406
midea,aon_midea_electro_enero,Retail Display,2026,1,ELECTROHOGAR,300000.0,0.0,exact,True,0.0
midea,AON MIDEA LB ENERO,CRM,2026,1,ELECTROHOGAR,1380000.0,63201668.0,exact,True,45.798310144927534
midea,aon_midea_lb_enero,Google,2026,1,ELECTROHOGAR,1000000.0,9954764.0,exact,True,9.954764
midea,tactico_midea_refri_enero,Retail Display,2026,1,ELECTROHOGAR,1500000.0,0.0,exact,True,0.0
NEOX CERAMICA,aon_marzo_2026,Sponsored Products,2026,3,PISOS Y MUROS,250000.0,1156380.0,exact,True,4.62552
NEOX CERAMICA,tactico_febrero_2026,Sponsored Products,2026,2,PISOS Y MUROS,250000.0,253286.0,exact,True,1.013144
NINJA,aon_marzo_ninja_2026,Sponsored Products,2026,3,ELECTROHOGAR,300000.0,9432320.0,exact,True,31.441066666666668
NINJA,aon_ninja_2026,Sponsored Products,2026,2,ELECTROHOGAR,300000.0,5649550.0,exact,True,18.831833333333332
NINJA,electroweek_marzo_2026,Sponsored Products,2026,2,ELECTROHOGAR,430000.0,3176146.0,exact,True,7.386386046511628
odis,Casa Segura,CRM,2026,1,FERRETERIA,450000.0,50405045.0,exact,True,112.01121111111111
oster,AON ABRIL OSTER 2026,CRM,2026,4,ELECTROHOGAR,750000.0,6053330.0,exact,True,8.071106666666667
OSTER,aon_marzo_oster_2026,Sponsored Products,2026,3,ELECTROHOGAR,250000.0,3608810.0,exact,True,14.43524
oster,AON MAYO OSTER 2026,CRM,2026,5,ELECTROHOGAR,800000.0,1961536.0,exact,True,2.45192
oster,aon_oster_2026,CRM,2026,1,ELECTROHOGAR,750000.0,0.0,exact,True,0.0
oster,aon_oster_2026,CRM,2026,2,ELECTROHOGAR,750000.0,2291788.0,exact,True,3.0557173333333334
OSTER,aon_oster_2026,Sponsored Products,2026,2,ELECTROHOGAR,250000.0,1940860.0,exact,True,7.76344
oster,Black Marzo OSTER 2026,CRM,2026,4,ELECTROHOGAR,1000000.0,8606903.0,exact,True,8.606903
OSTER,electroweek_marzo_2026,Sponsored Products,2026,2,ELECTROHOGAR,500000.0,2882550.0,exact,True,5.7651
poli,Casa Segura,CRM,2025,12,FERRETERIA,425000.0,2255407.0,exact,True,5.30684
poli,Casa Segura,CRM,2026,1,FERRETERIA,425000.0,17453730.0,exact,True,41.0676
rheem,AON MARZO RHEEM 2026,CRM,2026,3,BANOS Y COCINAS,1000000.0,9842564.0,exact,True,9.842564
ROSEN,aon_febrero_2026,Sponsored Products,2026,2,MUEBLES,900000.0,14357460.0,exact,True,15.952733333333333
ROSEN,aon_marzo_2026,Sponsored Products,2026,3,MUEBLES,600000.0,12592550.0,exact,True,20.987583333333333
rosen,Aon Mayo Rosen 2026,CRM,2026,5,MUEBLES,2400000.0,32794274.0,exact,True,13.664280833333333
rosen,AON Y COLCHONAZO,CRM,2026,1,MUEBLES,3000000.0,131066588.0,exact,True,43.688862666666665
samsung,AON ABRIL SAMSUNG 2026,CRM,2026,4,ELECTROHOGAR,1000000.0,25031500.0,exact,True,25.0315
samsung,AON MARZO SAMSUNG 2026,CRM,2026,3,ELECTROHOGAR,1500000.0,44088740.0,exact,True,29.392493333333334
SAMSUNG,aon_marzo_samsung_2026,Sponsored Products,2026,3,ELECTROHOGAR,500000.0,6479850.0,exact,True,12.9597
samsung,AON MAYO SAMSUNG 2026,CRM,2026,5,ELECTROHOGAR,1000000.0,459990.0,exact,True,0.45999
samsung,AON Samsung 2026,CRM,2026,1,ELECTROHOGAR,1500000.0,7340626.0,exact,True,4.893750666666667
samsung,AON SAMSUNG FEBRERO 2026,CRM,2026,2,ELECTROHOGAR,1500000.0,21209500.0,exact,True,14.139666666666667
SAMSUNG,aon_samsung_febrero_2026,Sponsored Products,2026,2,ELECTROHOGAR,500000.0,6209810.0,exact,True,12.41962
samsung,Black Marzo SAMSUNG 2026,CRM,2026,4,ELECTROHOGAR,2000000.0,35066888.0,exact,True,17.533444
splendid,Always On Diciembre 2025,CRM,2025,12,BANOS Y COCINAS,3920000.0,17914488.0,exact,True,4.570022448979592
splendid,AON ABRIL RHEEM CHILE 2026,CRM,2026,4,BANOS Y COCINAS,1900000.0,103722833.0,exact,True,54.5909647368421
SPLENDID,aon_abril_rheem_chile_2026,Sponsored Products,2026,4,BANOS Y COCINAS,1000000.0,33426534.0,exact,True,33.426534
splendid,AON MARZO RHEEM 2026,CRM,2026,3,BANOS Y COCINAS,1900000.0,399994324.0,exact,True,210.52332842105264
SPLENDID,aon_marzo_rheem_2026,Sponsored Products,2026,3,BANOS Y COCINAS,1000000.0,18738587.0,exact,True,18.738587
splendid,AON MAYO RHHEM  BYC2026,CRM,2026,5,BANOS Y COCINAS,2070000.0,35838650.0,exact,True,17.313357487922705
splendid,AON RHEEM 2026,CRM,2026,1,ELECTROHOGAR,1500000.0,39663054.0,exact,True,26.442036
splendid,AON RHEEM FEBRERO 2026,CRM,2026,2,BANOS Y COCINAS,1500000.0,61471056.0,exact,True,40.980704
SPLENDID,aon_rheem_febrero_2026,Sponsored Products,2026,2,BANOS Y COCINAS,500000.0,18130330.0,exact,True,36.26066
starlink,Campaña Starlink Enero,CRM,2026,1,CASA INTELIGENTE,600000.0,1347960.0,exact,True,2.2466
STIHL,aon_marzo_2026,Sponsored Products,2026,3,JARDIN,500000.0,18917902.0,exact,True,37.835804
STIHL,tactico_febrero_2026,Sponsored Products,2026,2,JARDIN,800000.0,16771610.0,exact,True,20.9645125
STRETTO,aon_febrero_2026,Sponsored Products,2026,2,BANOS Y COCINAS,200000.0,3097771.0,exact,True,15.488855
STRETTO,aon_marzo_stretto_2026,Sponsored Products,2026,3,BANOS Y COCINAS,200000.0,7053228.0,exact,True,35.26614
tajamar,aon_tajamar_2026,Retail Display,2026,1,PINTURA Y ACCESORIOS,400000.0,0.0,exact,True,0.0
tcl,AON TCL 2025,CRM,2025,12,ELECTROHOGAR,1500000.0,0.0,exact,True,0.0
tcl,aon_tcl_enero,Google,2026,1,ELECTROHOGAR,22351.0,469980.0,exact,True,21.027247103037894
