brand_key,campaign_key,group_key,year,month,original_brand,original_campaign,impressions,reach,clicks,sales,performance_rows,family,original_registry_brand,original_registry_campaign,budget,cost,contribution,registry_rows,match_quality,probable_registry_campaign_key,candidate_count,ctr,reach_rate,roas,cpm,cpc,margin_rate,sample_is_valid
3m,aon febrero,Retail Display,2026,2,3m,aon_febrero,76935.0,0.0,32.0,0.0,17,FERRETERIA,3M,AON Febrero,200000.0,160000.0,40000.0,1.0,exact,,,0.04159355299928511,0.0,0.0,2599.5970624553192,6250.0,0.2,True
3m,aon febrero,Sponsored Products,2026,2,3M,aon_febrero,2787.0,0.0,44.0,29430.0,1,FERRETERIA,3M,AON Febrero,250000.0,206000.0,44000.0,1.0,exact,,,1.5787585217079296,0.0,0.11772,89702.1887334051,5681.818181818182,0.176,True
3m,aon marzo,Retail Display,2026,3,3m,aon_marzo,76942.0,0.0,30.0,0.0,20,FERRETERIA,3M,AON Marzo,200000.0,160000.0,40000.0,1.0,exact,,,0.03899040835954355,0.0,0.0,2599.360557302903,6666.666666666667,0.2,True
3m,aon marzo,Sponsored Products,2026,3,3M,aon_marzo,0.0,0.0,0.0,9990.0,1,FERRETERIA,3M,AON Marzo,154659.0,127439.0,27220.0,1.0,exact,,,,,0.06459371908521327,,,0.17600010345340394,True
agorex,aon abril henkel 2026,CRM,2026,4,agorex,AON ABRIL HENKEL 2026,0.0,329654.0,0.0,25291289.0,1,PINTURA Y ACCESORIOS,AGOREX,AON ABRIL HENKEL 2026,1305000.0,27586.0,1277414.0,1.0,exact,,,,,19.380298084291187,,,0.9788613026819923,True
agorex,aon febrero,CRM,2026,2,agorex,AON FEBRERO,0.0,1199220.0,0.0,115180104.0,1,PINTURA Y ACCESORIOS,AGOREX,AON FEBRERO,1305000.0,76190.0,1228810.0,1.0,exact,,,,,88.26061609195402,,,0.9416168582375479,True
agorex,aon marzo henkel 2026,Sponsored Products,2026,3,AGOREX,aon_marzo_henkel_2026,165545.0,0.0,3277.0,3256114.0,1,PINTURA Y ACCESORIOS,AGOREX,AON MARZO HENKEL 2026,500000.0,412000.0,88000.0,1.0,exact,,,1.9795221843003412,0.0,6.512228,3020.3267993596905,152.57857796765333,0.176,True
albin trotter,aon marzo 2026 albin trotter,Sponsored Products,2026,3,ALBIN TROTTER,aon_marzo_2026_albin_trotter,82149.0,0.0,1410.0,12591060.0,1,BANOS Y COCINAS,ALBIN TROTTER,AON MARZO 2026 ALBIN TROTTER,400000.0,329600.0,70400.0,1.0,exact,,,1.7163933827557245,0.0,31.47765,4869.201085831843,283.68794326241135,0.176,True
alcazar,black marzo alcazar 2026,CRM,2026,4,alcazar,Black Marzo ALCAZAR 2026,0.0,329550.0,0.0,14821645.0,1,ELECTROHOGAR,ALCAZAR,Black Marzo ALCAZAR 2026,1000000.0,27586.0,972414.0,1.0,exact,,,,,14.821645,,,0.972414,True
bbq grill,aon febrero 2026,Sponsored Products,2026,2,BBQ GRILL,aon_febrero_2026,86772.0,0.0,1890.0,9229600.0,1,AIRE LIBRE,BBQ GRILL,AON Febrero 2026,800000.0,659200.0,140800.0,1.0,exact,,,2.1781219748305904,0.0,11.537,9219.563914626837,423.2804232804233,0.176,True
bbq grill,aon marzo 2026,Sponsored Products,2026,3,BBQ GRILL,aon_marzo_2026,84815.0,0.0,2236.0,11059440.0,1,AIRE LIBRE,BBQ GRILL,AON Marzo 2026,500000.0,412000.0,88000.0,1.0,exact,,,2.6363261215586866,0.0,22.11888,5895.18363497023,223.61359570661895,0.176,True
black decker,aon trigger,CRM,2026,2,black+decker,aon_trigger,0.0,15643.0,0.0,3358338.0,28,HERRAMIENTAS Y MAQUINARIAS,BLACK & DECKER,AON TRIGGER,750000.0,0.0,750000.0,1.0,exact,,,,,4.477784,,,1.0,True
black decker,aon trigger,CRM,2026,3,black+decker,aon_trigger,0.0,21086.0,0.0,3859080.0,31,HERRAMIENTAS Y MAQUINARIAS,BLACK & DECKER,AON TRIGGER,750000.0,0.0,750000.0,1.0,exact,,,,,5.14544,,,1.0,True
black decker,aon trigger,CRM,2026,4,black+decker,aon_trigger,0.0,25507.0,0.0,3060872.0,23,HERRAMIENTAS Y MAQUINARIAS,BLACK & DECKER,AON TRIGGER,750000.0,0.0,750000.0,1.0,exact,,,,,4.081162666666667,,,1.0,True
black decker,aon trigger,CRM,2026,5,black+decker,aon_trigger,0.0,17663.0,0.0,1437338.0,20,HERRAMIENTAS Y MAQUINARIAS,BLACK & DECKER,AON TRIGGER,750000.0,0.0,750000.0,1.0,exact,,,,,1.9164506666666667,,,1.0,True
bosca,aon abril bosca 2026,CRM,2026,4,bosca,AON ABRIL BOSCA 2026,0.0,462593.0,341.0,79099690.0,2,ELECTROHOGAR,BOSCA,AON ABRIL BOSCA 2026,1550000.0,55172.0,1494828.0,2.0,exact,,,,,51.03205806451613,,4545.454545454545,0.9644051612903226,True
bosca,aon febrero 2026,CRM,2026,2,bosca,AON Febrero 2026,0.0,101154.0,136.0,15947793.0,1,ELECTROHOGAR,BOSCA,AON Febrero 2026,950000.0,76190.0,873810.0,1.0,exact,,,,,16.787150526315788,,6985.294117647059,0.9198,True
bosca,aon marzo bosca 2026,CRM,2026,3,bosca,AON MARZO BOSCA 2026,0.0,303483.0,501.0,89497788.0,1,ELECTROHOGAR,BOSCA,AON MARZO BOSCA 2026,950000.0,53333.0,896667.0,1.0,exact,,,,,94.20819789473684,,1896.2075848303393,0.94386,True
bosca,aon marzo bosca 2026,Retail Display,2026,3,bosca,aon_marzo_bosca_2026,107467.0,0.0,121.0,0.0,7,ELECTROHOGAR,BOSCA,AON MARZO BOSCA 2026,200000.0,160000.0,40000.0,1.0,exact,,,0.11259270287623177,0.0,0.0,1861.0364111773847,1652.892561983471,0.2,True
bosca,aon marzo bosca 2026,Sponsored Products,2026,3,BOSCA,aon_marzo_bosca_2026,88052.0,0.0,1805.0,24209560.0,1,ELECTROHOGAR,BOSCA,AON MARZO BOSCA 2026,500000.0,412000.0,88000.0,1.0,exact,,,2.049925044292009,0.0,48.41912,5678.462726570663,277.0083102493075,0.176,True
bosca,aon mayo bosca 2026,CRM,2026,5,bosca,AON MAYO BOSCA 2026,0.0,465636.0,531.0,67569698.0,2,ELECTROHOGAR,BOSCA,AON MAYO BOSCA 2026,2340000.0,123076.0,2216924.0,2.0,exact,,,,,28.875939316239315,,4406.779661016949,0.9474034188034188,True
bosch,abril herramientas mil,CRM,2026,4,bosch,Abril Herramientas Mil,0.0,208000.0,0.0,58908472.0,1,HERRAMIENTAS Y MAQUINARIAS,BOSCH,Abril Herramientas Mil,0.0,27586.0,-27586.0,1.0,exact,,,,,,,,,False
bosch,aon pro q1,Sponsored Products,2026,2,BOSCH,aon_pro_q1,14627.0,0.0,343.0,1254730.0,1,HERRAMIENTAS Y MAQUINARIAS,BOSCH,Aon Pro Q1,150000.0,123600.0,26400.0,1.0,exact,,,2.3449784644834897,0.0,8.364866666666666,10255.007862172695,437.3177842565598,0.176,True
